,X,log2FoldChange,AveExpr,t,pvalue,padj,B
295,GOLM1,1.117564584,5.56303275,3.4270202,0.003231095,0.0679,-2.01
296,LEF1,1.058059825,3.051133583,3.426868859,0.003232153,0.067911683,-1.761264771
297,MMP1,3.758702141,3.356104362,3.419080521,0.003287019,0.068710752,-1.818376409
298,EREG,1.4936344,3.727302641,3.403302314,0.003401017,0.0701,-1.9
299,IGHJ2,2.517120782,-0.715650275,3.401622037,0.003413385,0.0701,-1.76
300,SLC4A3,1.143048391,1.99319645,3.401065547,0.003417491,0.070143347,-1.707382326
301,MXRA5,1.307670572,6.283763762,3.396601018,0.003450611,0.0706,-2.06
302,PLPPR4,1.267770219,2.896591239,3.395322886,0.00346015,0.0707,-1.81
303,DIRAS3,1.133161075,1.599332938,3.393406248,0.003474505,0.070741263,-1.699010029
304,MT1E,1.506308413,4.750998215,3.388348038,0.003512673,0.071068427,-2.054169906
305,STEAP2,1.28251862,5.609902343,3.388122881,0.003514381,0.071068427,-2.091805799
306,TDO2,1.808862228,2.395505466,3.383498683,0.003549654,0.0716,-1.77
307,KRT17,3.292660102,4.732299844,3.380373189,0.003573693,0.071689512,-2.069197326
308,MROH7-TTC4,1.898112793,0.244194702,3.379824495,0.00357793,0.0717,-1.72
309,HORMAD1,1.243950257,0.98383792,3.378638654,0.003587103,0.071792403,-1.70774167
310,GADD45A,1.103564575,4.258556074,3.377717125,0.003594248,0.0718,-2.03
311,RP11-677N16.1,1.4364754,0.810526966,3.373971683,0.003623433,0.072156418,-1.715627097
312,NELL1,1.76918872,0.888180638,3.363080962,0.003709632,0.073077791,-1.735791628
313,IGLV3-1,2.407004128,3.977092338,3.359598644,0.00373762,0.073448349,-2.028056453
314,IGHV3-11,2.511985438,2.532892628,3.357654826,0.003753334,0.073448349,-1.839015469
315,IGLV7-43,2.365766983,0.766231792,3.35411954,0.00378208,0.073879543,-1.75215188
