,log2FoldChange,AveExpr,t,pvalue,padj,B
MAFF,-0.040069173,5.860785927,-0.119315282,0.906430374,0.956939049,-6.621210054
PNMA2,-0.023127904,4.598232822,-0.119466888,0.906312079,0.956939049,-6.556869881
SOCS2,-0.043282961,5.426395144,-0.119922875,0.905956294,9.57E-01,-6.62E+00
LPAR6,-0.019923585,5.304081053,-0.120240483,0.905708491,0.956850876,-6.612812913
TIGD4,-0.063313961,0.670120703,-0.12030876,0.905655222,0.9568489,-5.770918571
DOCK1,-0.020722311,6.873933112,-0.120352027,0.905621466,0.9568489,-6.573498122
FLYWCH2,-0.022111543,3.845119708,-0.120367192,0.905609634,0.9568489,-6.434124833
SF3B4,-0.018679314,3.476234871,-0.120813844,0.905261172,9.57E-01,-6.36E+00
TXNDC12,-0.021359179,5.163938745,-0.121106469,0.905032888,0.956465842,-6.605808624
UBE2G2,-0.017156146,6.135263317,-0.121215383,0.904947923,9.56E-01,-6.61E+00
TNPO1,-0.021544197,7.449237567,-0.121301428,0.904880799,9.56E-01,-6.53E+00
TMTC2,-0.020391478,5.488755637,-0.121434698,0.904776838,0.956409381,-6.618778523
HNRNPDL,-0.024082626,7.253123531,-0.121495919,0.90472908,0.956409381,-6.543959708
BTF3L4,-0.024839991,5.027889954,-0.121547441,0.90468889,0.956409381,-6.597182442
MED12,-0.015806072,5.858316613,-0.122130295,0.904234241,9.56E-01,-6.62E+00
CDCA3,-0.040713207,2.692624963,-0.122260994,0.904132295,9.56E-01,-6.18E+00
C17ORF80,-0.021461616,4.263405306,-0.123207897,0.903393759,0.955435645,-6.509371875
G3BP2,-0.020268233,6.768229348,-0.12358785,0.903097441,9.55E-01,-6.58E+00
CNPY2,-0.019896611,5.072458968,-0.123909124,0.902846897,9.55E-01,-6.60E+00
ARHGAP28,-0.024635208,5.686322082,-0.12393179,0.902829222,9.55E-01,-6.62E+00
NAA60,-0.01892173,4.948343502,-0.124546016,0.902350251,9.55E-01,-6.59E+00
ICA1,-0.013050287,4.695099168,-0.124950118,0.902035156,0.954893108,-6.567251683
PTRH2,-0.021193264,4.264699561,-0.125001244,0.901995291,9.55E-01,-6.51E+00
TFEB,-0.016564426,4.274900161,-0.125108037,0.901912023,0.954893108,-6.510929303
TMED7-TICAM2,-0.09385953,1.087552632,-0.125688064,0.901459791,0.954794199,-5.854146961
TRAK1,-0.020333698,6.581983171,-0.125741429,0.901418185,9.55E-01,-6.59E+00
EOGT,-0.018390489,5.538373497,-0.12607642,0.901157018,0.954733939,-6.619287937
COX10,-0.021768961,3.43388626,-0.126087377,0.901148476,9.55E-01,-6.35E+00
ZHX1-C8ORF76,-0.049283763,0.662557817,-0.126298102,0.900984197,9.55E-01,-5.77E+00
RPS25,-0.034095408,8.022068582,-0.126805001,0.90058904,0.954367027,-6.480789709
H2AFY,-0.025819869,7.636733338,-0.126935867,0.900487027,0.954313247,-6.512287002
RP11-274B21.3,-0.059426692,0.823007382,-0.127733502,0.899865292,9.54E-01,-5.80E+00
DCLK3,-0.0587201,0.792371565,-0.127753808,0.899849464,9.54E-01,-5.79E+00
TMTC1,-0.026813186,5.72570749,-0.127788918,0.899822099,9.54E-01,-6.62E+00
LIN52,-0.0170735,3.818756333,-0.127869691,0.899759142,9.54E-01,-6.43E+00
CRELD1,-0.021611092,4.428234104,-0.127894213,0.899740029,9.54E-01,-6.53E+00
ISY1-RAB43,-0.039530876,5.034155089,-0.128104892,0.899575825,9.54E-01,-6.60E+00
EID3,-0.042253675,2.565922208,-0.1284516,0.89930561,0.953495457,-6.152480234
NFIC,-0.033288555,6.927618828,-0.130858795,0.897429856,0.951723494,-6.568155152
RCAN1,-0.038047297,5.518554308,-0.131205514,0.897159734,0.951545443,-6.618194538
RBM14-RBM4,-0.023787914,3.489236548,-0.131373506,0.897028859,0.951460842,-6.357632065
SYT3,-0.073969985,0.39196991,-0.131452815,0.896967074,9.51E-01,-5.72E+00
C12ORF4,-0.021677136,4.970421225,-0.131509185,0.896923161,0.951449519,-6.591623528
KIF18B,-0.054001421,2.379158924,-0.131570505,0.896875391,9.51E-01,-6.11E+00
RP11-1275J23.3,-0.145536778,0.877576461,-0.131790483,0.896704025,0.951341801,-5.810788776
C19ORF68,-0.038990066,1.682919204,-0.13198388,0.896553372,9.51E-01,-5.97E+00
TMX4,-0.017841197,6.219835777,-0.13202836,0.896518723,0.951341801,-6.610331772
SLC35E2B,-0.01897131,6.142504633,-0.132096875,0.896465352,0.951341801,-6.613105105
DNAJC30,-0.023872978,2.725045868,-0.132177232,0.896402757,9.51E-01,-6.19E+00
FCER2,-0.068676457,0.137296578,-0.132290305,0.896314679,0.951341801,-5.668535563
ARHGAP21,-0.017649595,7.286649728,-0.132327857,0.896285428,0.951341801,-6.539847933
SULT1C4,-0.037502283,2.879427812,-0.132492206,0.896157412,9.51E-01,-6.22E+00
FEM1C,-0.027218873,5.757404364,-0.132892335,0.895845751,9.51E-01,-6.62E+00
CD164,-0.032192031,7.671920335,-0.133084784,0.895695859,0.951181458,-6.508601496
EPHA1,-0.021070755,4.088724131,-0.133244418,0.895571528,0.951107284,-6.47851601
RP11-213G2.3,-0.019543354,3.325005781,-0.133467637,0.895397679,9.51E-01,-6.32E+00
RSRC1,-0.020756018,4.693629578,-0.134077766,0.894922522,0.950580719,-6.565866696
TESK2,-0.027818855,2.948796057,-0.134105471,0.894900947,0.950580719,-6.235919278
BAHCC1,-0.037840017,4.578796404,-0.134599894,0.894515932,9.50E-01,-6.55E+00
SIN3B,-0.028561987,5.603612532,-0.13507332,0.894147292,0.950245246,-6.619072662
FAM91A1,-0.022440321,6.260110034,-0.135126452,0.894105921,9.50E-01,-6.61E+00
CCR1,-0.053003226,5.050075883,-0.135273965,0.893991065,0.950241958,-6.596900071
ZNF404,-0.033834899,1.195005132,-0.135313625,0.893960184,0.950241958,-5.874917878
HNRNPA2B1,-0.018704307,8.06828738,-0.135819227,0.893566532,0.949997184,-6.475736543
TRIM61,-0.035193846,1.120379283,-0.136458516,0.893068834,0.949587012,-5.85946659
SUPT16H,-0.018012567,6.492919017,-0.136463652,0.893064835,0.949587012,-6.596531485
ZNF862,-0.030148261,4.240829597,-0.136570746,0.892981465,0.949587012,-6.503967428
DYNLRB1,-0.022443392,4.765386179,-0.13716991,0.892515054,9.49E-01,-6.57E+00
ANO9,-0.029945562,3.596733296,-0.137214108,0.892480651,9.49E-01,-6.38E+00
PRR4,-0.029213574,3.060849061,-0.13740612,0.892331191,9.49E-01,-6.26E+00
RTN2,-0.033447485,2.207658722,-0.137769586,0.892048286,9.49E-01,-6.08E+00
SDCCAG8,-0.02053445,6.066814665,-0.137913899,0.891935963,0.949032916,-6.61466916
RREB1,-0.022813341,6.898671761,-0.138335368,0.891607937,0.948792349,-6.569261519
ACBD4,-0.028129449,3.271480587,-0.13892613,0.891148185,0.948411537,-6.307992992
JAKMIP2,-0.041985878,3.516170522,-0.139339278,0.890826682,9.48E-01,-6.36E+00
KRCC1,-0.028708184,4.641775916,-0.139543389,0.890667854,0.948171371,-6.559239028
BLOC1S5,-0.018106148,3.820733811,-0.139674783,0.890565612,9.48E-01,-6.43E+00
AIFM3,-0.041912457,1.472482473,-0.139696362,0.890548822,9.48E-01,-5.93E+00
ZNF184,-0.023584608,3.649228692,-0.140072447,0.890256193,0.947949968,-6.391052811
FAM122B,-0.020272629,4.003053286,-0.140488164,0.889932745,0.947749294,-6.461859638
RRAD,-0.053767786,4.649664577,-0.140657438,0.889801048,0.947749294,-6.559984517
CHM,-0.023144229,5.251479257,-0.140708989,0.889760941,0.947749294,-6.607747408
TCFL5,-0.02060933,2.976935281,-0.141443792,0.889189298,0.947355804,-6.24120273
CALR,-0.03644018,9.090306375,-0.141544913,0.889110636,9.47E-01,-6.39E+00
CNTF,-0.048876807,0.843608155,-0.141703952,0.888986921,9.47E-01,-5.80E+00
AC093162.5,-0.053668265,0.761848496,-0.141911716,0.888825307,9.47E-01,-5.79E+00
RP5-1028K7.3,-0.060945445,0.956334893,-0.141969403,0.888780435,9.47E-01,-5.83E+00
HGSNAT,-0.019989531,5.776329563,-0.141991254,0.888763438,0.947130619,-6.618791812
SLC36A4,-0.029402289,4.546952478,-0.143025727,0.887958838,9.47E-01,-6.55E+00
PTGIR,-0.032270618,3.447543892,-0.143424823,0.887648459,9.46E-01,-6.35E+00
SDCBP,-0.027687054,7.658047915,-0.143517072,0.88757672,9.46E-01,-6.51E+00
DCAKD,-0.020471498,4.09342751,-0.143527252,0.887568803,0.946450236,-6.477871073
FAM212B,-0.023075749,4.569413344,-0.143962176,0.887230588,9.46E-01,-6.55E+00
EFCAB14,-0.021439765,7.418324132,-0.143971744,0.887223148,9.46E-01,-6.53E+00
NT5C3A,-0.031101572,3.897781066,-0.144135741,0.887095623,9.46E-01,-6.44E+00
RP11-613M10.9,-0.054726361,1.088414909,-0.144481747,0.886826577,9.46E-01,-5.85E+00
FBN3,-0.080266528,2.74706658,-0.144519308,0.886797371,9.46E-01,-6.19E+00
LRRC31,-0.05790919,0.613690626,-0.144804017,0.886576001,0.946087637,-5.75676792
CCNF,-0.034410623,3.413048253,-0.144950776,0.886461895,0.946074335,-6.338864362
XKR6,-0.029913017,2.56037677,-0.145008756,0.886416815,0.946074335,-6.149002058
CEPT1,-0.032847165,5.492469293,-0.145135619,0.886318181,9.46E-01,-6.62E+00
DDX24,-0.020701464,7.381130299,-0.145204516,0.886264616,0.946026496,-6.530395464
CACNA2D4,-0.038533493,2.463117317,-0.1454858,0.886045931,9.46E-01,-6.13E+00
HSPA1L,-0.036948833,1.136885792,-0.146046054,0.885610389,9.46E-01,-5.86E+00
PUDP,-0.040070206,3.631423164,-0.146514137,0.885246529,0.94553614,-6.386303063
ZNF14,-0.027856973,3.505045798,-0.146676512,0.885120315,0.945455576,-6.358936199
PIAS1,-0.027025832,6.420870987,-0.147091817,0.884797512,0.94521924,-6.59892513
SH3GL1P3,-0.041058864,1.403755177,-0.147146479,0.884755026,0.94521924,-5.915885992
PTAR1,-0.026247986,6.762199939,-0.147625841,0.884382463,0.945047009,-6.57775985
AGAP7P,-0.10728991,-0.350184771,-0.147713909,0.884314019,0.945047009,-5.580216144
UGGT1,-0.02403159,7.131775317,-0.147866029,0.884195798,9.45E-01,-6.55E+00
MTMR11,-0.027469451,3.37091798,-0.147873378,0.884190087,9.45E-01,-6.33E+00
ACIN1,-0.021798946,6.960189609,-0.148260353,0.883889359,9.45E-01,-6.56E+00
NCOA2,-0.018854064,6.619134042,-0.14858921,0.883633811,9.45E-01,-6.59E+00
CNKSR1,-0.038412211,3.553572131,-0.148835508,0.883442427,9.45E-01,-6.37E+00
GTF2E1,-0.025418499,3.737135315,-0.149072859,0.883258001,0.944675149,-6.408204969
RAB34,-0.024057829,5.341707632,-0.149400781,0.883003212,9.45E-01,-6.61E+00
SOD1,-0.021357237,6.098369459,-0.149486478,0.88293663,0.944557942,-6.612019069
TSSK4,-0.037875357,1.679335007,-0.149997692,0.882539458,0.944547726,-5.970679248
ARL6IP5,-0.035456108,6.837506811,-0.150008359,0.882531171,0.944547726,-6.571998953
ARF4,-0.033371624,6.53037467,-0.150091223,0.882466796,9.45E-01,-6.59E+00
POLR2J4,-0.024154777,2.611984254,-0.150167656,0.882407417,9.45E-01,-6.16E+00
ARL1,-0.031000317,5.764461689,-0.150175828,0.882401069,0.944547726,-6.617610465
MAD2L1,-0.049980941,2.688839606,-0.15029626,0.88230751,9.45E-01,-6.18E+00
GNAI1,-0.028689994,4.966858683,-0.150705237,0.881989807,9.44E-01,-6.59E+00
PLEKHM1P1,-0.031246088,5.95226697,-0.150764841,0.881943506,0.944387567,-6.615406443
POU2F3,-0.042354272,2.429936889,-0.150999245,0.881761427,9.44E-01,-6.12E+00
8-Sep,-0.028458129,5.535051304,-0.151101521,0.881681983,9.44E-01,-6.62E+00
MTAP,-0.023553948,6.246801067,-0.151280944,0.881542618,0.944234602,-6.60641969
OPTN,-0.026143306,6.301155909,-0.151596017,0.881297898,0.944090632,-6.604005129
ARC,-0.100082872,2.721983897,-0.151613886,0.881284019,9.44E-01,-6.18E+00
LIN7C,-0.03107227,5.901590061,-0.152614767,0.880506711,0.943667987,-6.615989866
NOC4L,-0.022941645,2.944291494,-0.153083794,0.880142496,0.943440589,-6.232134313
IPO4,-0.036919876,5.012106008,-0.153679817,0.879679705,0.943210013,-6.59144832
SMG6,-0.023787872,5.696004168,-0.153950379,0.879469638,0.943080383,-6.616984709
HMGB1P3,-0.061086677,1.205980825,-0.155576851,0.878207023,9.42E-01,-5.87E+00
MEF2D,-0.033815732,5.761763028,-0.155736826,0.878082854,9.42E-01,-6.62E+00
TLR8,-0.055121301,4.274479056,-0.155826876,0.878012961,0.941992186,-6.506396169
MAPK8IP2,-0.035246844,1.917282157,-0.155962316,0.87790784,9.42E-01,-6.02E+00
MAGOH,-0.033030382,3.251904693,-0.156366322,0.877594286,0.941902291,-6.300962458
ZNF565,-0.030025913,2.491164331,-0.156431942,0.877543359,9.42E-01,-6.13E+00
AGBL5,-0.026692237,4.458145201,-0.156549593,0.877452054,9.42E-01,-6.53E+00
HPR,-0.059330728,-0.137770954,-0.15680412,0.87725453,9.42E-01,-5.62E+00
WDR48,-0.021407902,5.307618093,-0.156989671,0.877110538,0.941654544,-6.607664972
CCDC121,-0.042346061,2.451091444,-0.156998765,0.877103481,9.42E-01,-6.12E+00
GALK2,-0.022266632,5.080784132,-0.157816664,0.876468832,0.941237022,-6.595516622
TM4SF18,-0.062452747,3.239943894,-0.157937065,0.876375413,9.41E-01,-6.30E+00
NPL,-0.056543718,5.053227141,-0.158251929,0.876131122,0.941045413,-6.593610266
CSPG4,-0.068215541,5.137004277,-0.158505133,0.875934679,0.940934795,-6.598817029
TMEM181,-0.019318154,5.895735892,-0.158928282,0.875606409,0.940745017,-6.615048237
MFSD6L,-0.059356241,0.381168723,-0.158934962,0.875601226,0.940745017,-5.710139275
LIN54,-0.026392435,4.506662052,-0.159328619,0.875295855,0.940574212,-6.539553686
BTK,-0.046960131,4.581478201,-0.159698337,0.875009073,0.94052728,-6.549041192
MELK,-0.087858085,1.844292527,-0.159935057,0.874825464,0.94052728,-6.001547212
PIGK,-0.030463075,4.880520601,-0.160437019,0.874436147,9.40E-01,-6.58E+00
VEZT,-0.020452231,6.314021325,-0.160660306,0.874262979,9.40E-01,-6.60E+00
CDC42EP5,-0.039946542,2.537836211,-0.160927135,0.87405605,0.940185754,-6.141722477
RAB27A,-0.029177604,5.741167057,-0.161227747,0.873822934,9.40E-01,-6.62E+00
MXD4,-0.031936548,5.928337405,-0.162083327,0.873159521,0.939633147,-6.614024355
NPIPP1,-0.107511736,1.094815007,-0.162273435,0.873012125,9.40E-01,-5.85E+00
FAM149B1,-0.019089001,4.626267371,-0.162372735,0.872935137,0.939532939,-6.553878322
HLA-K,-0.07005469,1.34248655,-0.162501826,0.872835054,9.40E-01,-5.90E+00
ZRSR1,-0.178669901,-1.148542638,-0.162604772,0.872755243,0.939471007,-5.446344735
KBTBD3,-0.038576948,2.145085678,-0.162659919,0.872712489,0.939471007,-6.060352338
MRPS21,-0.028577764,4.788286136,-0.162660119,0.872712334,0.939471007,-6.571130413
AC255361.1,-0.216241951,2.423518883,-0.162900376,0.872526075,9.39E-01,-6.12E+00
KIAA0907,-0.027289682,5.037857332,-0.16293778,0.872497079,9.39E-01,-6.59E+00
C5ORF63,-0.034330952,3.686309757,-0.163026198,0.872428535,9.39E-01,-6.40E+00
MMP14,-0.044713202,7.349650634,-0.163766954,0.871854328,0.939098546,-6.529957545
