"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"187","SKIV2L",4.082159738,3.065464296,3.177998903,0.011453832,0.260426918,-2.529709519
"188","ARHGAP10",4.165186187,3.109018749,3.177187568,0.011468642,0.260426918,-2.53094401
"189","LCN10",4.350061279,3.200568564,3.176825414,0.01147526,0.260426918,-2.531739293
"190","MGLL",2.695087504,6.136192907,3.160364455,0.011780248,0.264874861,-2.607300315
"191","SERTAD1",2.702369259,6.140985734,3.158195367,0.011821059,0.264874861,-2.610503981
"192","EIF3G",2.900779272,5.660818367,3.154385799,0.01189309,0.264874861,-2.615204828
"193","FIBP",3.394689522,3.915587339,3.154343259,0.011893897,0.264874861,-2.566778976
"194","PLEKHO2",3.340330797,5.888968245,3.153994907,0.011900507,0.264874861,-2.615802684
"195","SNHG15",3.101512004,5.843986266,3.146497205,0.012043699,0.265843516,-2.626760605
"196","BCOR",4.213839329,3.108725784,3.143958223,0.012092592,0.265843516,-2.576156147
"197","AGAP3",3.235707793,4.09237161,3.14021022,0.012165143,0.265843516,-2.588974267
"198","ABLIM3",3.833533919,4.37161385,3.138640694,0.012195659,0.265843516,-2.597943569
"199","QARS",3.346853776,4.516680514,3.135248854,0.012261876,0.265843516,-2.607539081
"200","BCR",4.040286247,3.856059359,3.132574127,0.012314356,0.265843516,-2.596206416
"201","NEBL",4.038612255,3.046330194,3.131831646,0.012328966,0.265843516,-2.5924278
"202","MFNG",4.29951692,3.177592036,3.12936833,0.012377563,0.265843516,-2.596347284
"203","ERCC1",3.161646617,4.6581657,3.12628722,0.012438628,0.265843516,-2.62575186
"204","NASP",2.666795335,5.62858565,3.125553562,0.012453214,0.265843516,-2.657123614
"205","VPS28",2.969806821,4.87717404,3.124918885,0.012465847,0.265843516,-2.637223698
"206","GLT8D1",4.006650091,3.029240457,3.123980695,0.012484545,0.265843516,-2.60305399
"207","TMEM109",3.135474392,4.778768273,3.123683037,0.012490484,0.265843516,-2.634614443
"208","PLEKHM1",4.161217839,3.085021741,3.122791351,0.012508291,0.265843516,-2.604912125
"209","RPS3A",2.332450293,8.625006975,3.120320952,0.012557762,0.265843516,-2.758301183
"210","DST",2.841643861,5.271253922,3.118665894,0.012591019,0.265843516,-2.662084287
"211","DTX4",4.144684495,3.07768042,3.117890655,0.012606629,0.265843516,-2.611565018
"212","RAPGEF1",2.706063487,5.360760761,3.117630526,0.012611871,0.265843516,-2.665650436
"213","MFAP1",4.129331485,3.070995718,3.115652354,0.012651808,0.265843516,-2.614588928
"214","GADD45B",2.362879525,9.960449826,3.114821975,0.012668612,0.265843516,-2.794333482
"215","HBP1",3.733135942,3.675641972,3.114289805,0.012679393,0.265843516,-2.619987537
"216","MAT2A",2.765255156,6.84921103,3.112283515,0.012720124,0.265843516,-2.692911723
"217","TMEM208",3.387600871,3.897444773,3.111173602,0.012742715,0.265843516,-2.626323902
"218","APH1A",2.939720681,5.27230174,3.110334611,0.012759819,0.265843516,-2.67424564
"219","INPP5A",4.484750034,3.267762253,3.109221234,0.012782554,0.265881311,-2.624359661
"220","RAPGEF3",4.495078812,3.2728396,3.105713771,0.01285445,0.266552272,-2.629192991
"221","LUZP1",3.375251184,4.336698591,3.105601486,0.012856758,0.266552272,-2.643403032
